Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Intent, Age
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Injury Intent,Injury Intent Code,Single-Year Ages,Single-Year Ages Code,Deaths,Population,Crude Rate
,Poisoning,GRINJ-015,Suicide,2,16 years,16,34,4465940,0.8
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,11 years,11,31,4089809,0.8
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,6 years,6,30,3972997,0.8
,Non-Injury: Other diseases of respiratory system,GR113-089,"Non-Injury, no intent classified",9,2 years,2,27,3611883,0.7
,Poisoning,GRINJ-015,Unintentional,1,< 1 year,0,27,3648654,0.7
,Poisoning,GRINJ-015,Undetermined ,4,< 1 year,0,27,3648654,0.7
,Unspecified Injury,GRINJ-020,Homicide,3,1 year,1,27,3694222,0.7
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,17 years,17,32,4395048,0.7
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,16 years,16,32,4465940,0.7
,Drowning,GRINJ-002,Unintentional,1,15 years,15,32,4472392,0.7
,Unspecified Injury,GRINJ-020,Homicide,3,2 years,2,25,3611883,0.7
,Firearm,GRINJ-006,Homicide,3,10 years,10,28,4083444,0.7
,Poisoning,GRINJ-015,Homicide,3,< 1 year,0,24,3648654,0.7
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,4 years,4,25,3808594,0.7
,Poisoning,GRINJ-015,Unintentional,1,2 years,2,23,3611883,0.6
,Non-Injury: Septicemia,GR113-010,"Non-Injury, no intent classified",9,1 year,1,23,3694222,0.6
,Fire/Flame,GRINJ-004,Unintentional,1,3 years,3,23,3747807,0.6
,Non-Injury: Other acute lower respiratory infections,GR113 079,"Non-Injury, no intent classified",9,< 1 year,0,22,3648654,0.6
,Non-Injury: Diabetes mellitus,GR113-046,"Non-Injury, no intent classified",9,18 years,18,26,4357485,0.6
,Natural/Environmental,GRINJ-013,Unintentional,1,1 year,1,22,3694222,0.6
,Drowning,GRINJ-002,Unintentional,1,13 years,13,25,4219014,0.6
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,5 years,5,23,3896077,0.6
,Fire/Flame,GRINJ-004,Unintentional,1,2 years,2,21,3611883,0.6
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,12 years,12,24,4134024,0.6
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,14 years,14,25,4308273,0.6
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,4 years,4,22,3808594,0.6
,Fire/Flame,GRINJ-004,Unintentional,1,1 year,1,21,3694222,0.6
,Firearm,GRINJ-006,Homicide,3,11 years,11,23,4089809,0.6
,Suffocation,GRINJ-017,Suicide,2,11 years,11,23,4089809,0.6
,Firearm,GRINJ-006,Homicide,3,9 years,9,23,4097627,0.6
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,3 years,3,21,3747807,0.6
,Poisoning,GRINJ-015,Undetermined ,4,2 years,2,20,3611883,0.6
,Fire/Flame,GRINJ-004,Unintentional,1,4 years,4,21,3808594,0.6
,Fall,GRINJ-003,Suicide,2,18 years,18,24,4357485,0.6
,Poisoning,GRINJ-015,Suicide,2,15 years,15,24,4472392,0.5
,Drowning,GRINJ-002,Unintentional,1,8 years,8,22,4110498,0.5
,Poisoning,GRINJ-015,Undetermined ,4,19 years,19,23,4384615,0.5
,Non-Injury: Diabetes mellitus,GR113-046,"Non-Injury, no intent classified",9,19 years,19,23,4384615,0.5
,Other land transport,GRINJ-011,Unintentional,1,14 years,14,21,4308273,0.5
,Poisoning,GRINJ-015,Suicide,2,14 years,14,21,4308273,0.5
,Cut/Pierce,GRINJ-001,Homicide,3,18 years,18,21,4357485,0.5
,Other land transport,GRINJ-011,Unintentional,1,19 years,19,21,4384615,0.5
,Non-Injury: Chronic lower respiratory diseases,GR113 082,"Non-Injury, no intent classified",9,19 years,19,21,4384615,0.5
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,13 years,13,20,4219014,0.5
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,"Non-Injury, no intent classified",9,14 years,14,20,4308273,0.5
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,15 years,15,20,4472392,0.4
,Cut/Pierce,GRINJ-001,Homicide,3,16 years,16,15,4465940,Unreliable
,Cut/Pierce,GRINJ-001,Homicide,3,17 years,17,14,4395048,Unreliable
,Cut/Pierce,GRINJ-001,Homicide,3,19 years,19,18,4384615,Unreliable
,Drowning,GRINJ-002,Unintentional,1,7 years,7,16,4075558,Unreliable
,Drowning,GRINJ-002,Unintentional,1,9 years,9,14,4097627,Unreliable
,Drowning,GRINJ-002,Unintentional,1,10 years,10,13,4083444,Unreliable
,Drowning,GRINJ-002,Unintentional,1,12 years,12,18,4134024,Unreliable
,Drowning,GRINJ-002,Unintentional,1,14 years,14,19,4308273,Unreliable
,Fall,GRINJ-003,Unintentional,1,17 years,17,12,4395048,Unreliable
,Fall,GRINJ-003,Unintentional,1,18 years,18,11,4357485,Unreliable
,Fall,GRINJ-003,Unintentional,1,19 years,19,15,4384615,Unreliable
,Fall,GRINJ-003,Suicide,2,15 years,15,11,4472392,Unreliable
,Fall,GRINJ-003,Suicide,2,16 years,16,15,4465940,Unreliable
,Fall,GRINJ-003,Suicide,2,17 years,17,18,4395048,Unreliable
,Fire/Flame,GRINJ-004,Unintentional,1,5 years,5,18,3896077,Unreliable
,Fire/Flame,GRINJ-004,Unintentional,1,6 years,6,17,3972997,Unreliable
,Fire/Flame,GRINJ-004,Unintentional,1,7 years,7,18,4075558,Unreliable
,Fire/Flame,GRINJ-004,Unintentional,1,8 years,8,10,4110498,Unreliable
,Fire/Flame,GRINJ-004,Unintentional,1,9 years,9,12,4097627,Unreliable
,Fire/Flame,GRINJ-004,Unintentional,1,11 years,11,11,4089809,Unreliable
,Fire/Flame,GRINJ-004,Unintentional,1,13 years,13,18,4219014,Unreliable
,Fire/Flame,GRINJ-004,Unintentional,1,14 years,14,14,4308273,Unreliable
,Fire/Flame,GRINJ-004,Unintentional,1,19 years,19,11,4384615,Unreliable
