Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Age, Sex
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Single-Year Ages,Single-Year Ages Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Non-Injury: Other diseases of respiratory system,GR113-089,1 year,1,Male,M,24,1887461,1.3
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,18 years,18,Female,F,24,2128851,1.1
,Other land transport,GRINJ-011,17 years,17,Male,M,24,2248723,1.1
,Cut/Pierce,GRINJ-001,18 years,18,Male,M,23,2228634,1.0
,Firearm,GRINJ-006,11 years,11,Male,M,23,2093367,1.1
,Motor Vehicle Traffic,GRINJ-008,8 years,8,Female,F,23,2010922,1.1
,Non-Injury: Diseases of Heart,GR113 055-068,15 years,15,Male,M,23,2290485,1.0
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,1 year,1,Female,F,23,1806761,1.3
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,2 years,2,Female,F,23,1764724,1.3
,Poisoning,GRINJ-015,2 years,2,Female,F,23,1764724,1.3
,Suffocation,GRINJ-017,12 years,12,Male,M,23,2120895,1.1
,Drowning,GRINJ-002,4 years,4,Female,F,22,1863907,1.2
,Motor Vehicle Traffic,GRINJ-008,9 years,9,Female,F,22,1999368,1.1
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,16 years,16,Female,F,22,2178189,1.0
,Motor Vehicle Traffic,GRINJ-008,5 years,5,Female,F,21,1904677,1.1
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,1 year,1,Male,M,21,1887461,1.1
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,10 years,10,Female,F,21,1996583,1.1
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,10 years,10,Male,M,21,2086861,1.0
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,14 years,14,Female,F,21,2102597,1.0
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,15 years,15,Male,M,21,2290485,0.9
,Non-Injury: Diseases of Heart,GR113 055-068,16 years,16,Female,F,21,2178189,1.0
,Non-Injury: Diseases of Heart,GR113 055-068,16 years,16,Male,M,21,2287751,0.9
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,1 year,1,Male,M,21,1887461,1.1
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,2 years,2,Female,F,21,1764724,1.2
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,3 years,3,Male,M,21,1915584,1.1
,Drowning,GRINJ-002,13 years,13,Male,M,20,2161119,0.9
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,9 years,9,Male,M,20,2098259,1.0
,Non-Injury: Diseases of Heart,GR113 055-068,17 years,17,Female,F,20,2146325,0.9
,"Non-Injury: Nephritis, nephrotic syndrome and nephrosis",GR113 097,< 1 year,0,Male,M,20,1864508,1.1
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,17 years,17,Male,M,20,2248723,0.9
,Drowning,GRINJ-002,14 years,14,Male,M,19,2205676,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,13 years,13,Female,F,19,2057895,Unreliable
,Non-Injury: Influenza & Pneumonia,GR113 077-078,1 year,1,Female,F,19,1806761,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,16 years,16,Female,F,19,2178189,Unreliable
,Other land transport,GRINJ-011,14 years,14,Male,M,19,2205676,Unreliable
,Suffocation,GRINJ-017,11 years,11,Male,M,19,2093367,Unreliable
,Firearm,GRINJ-006,2 years,2,Male,M,18,1847159,Unreliable
,Firearm,GRINJ-006,7 years,7,Male,M,18,2082645,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,4 years,4,Female,F,18,1863907,Unreliable
