Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Age
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Single-Year Ages,Single-Year Ages Code,Deaths,Population,Crude Rate
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,13 years,13,13,4219014,Unreliable
,Other land transport,GRINJ-011,12 years,12,13,4134024,Unreliable
,Non-Injury: Other diseases of respiratory system,GR113-089,12 years,12,13,4134024,Unreliable
,Drowning,GRINJ-002,10 years,10,13,4083444,Unreliable
,Non-Injury: Chronic lower respiratory diseases,GR113 082,10 years,10,13,4083444,Unreliable
,Non-Injury: Chronic lower respiratory diseases,GR113 082,9 years,9,13,4097627,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,8 years,8,13,4110498,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,8 years,8,13,4110498,Unreliable
,Non-Injury: Influenza & Pneumonia,GR113 077-078,7 years,7,13,4075558,Unreliable
,Non-Injury: Chronic lower respiratory diseases,GR113 082,5 years,5,13,3896077,Unreliable
,Non-Injury: Septicemia,GR113-010,4 years,4,13,3808594,Unreliable
,Other Pedestrian,GRINJ-010,2 years,2,13,3611883,Unreliable
,Non-Injury: Chronic lower respiratory diseases,GR113 082,1 year,1,13,3694222,Unreliable
,"Other specified, not elsewhere classified Injury",GRINJ-019,19 years,19,12,4384615,Unreliable
,Non-Injury: Influenza & Pneumonia,GR113 077-078,19 years,19,12,4384615,Unreliable
,"Non-Injury: Other complications of pregnancy, childbirth and the puerperium",GR113-107,19 years,19,12,4384615,Unreliable
,Non-Injury: Septicemia,GR113-010,18 years,18,12,4357485,Unreliable
,Unspecified Injury,GRINJ-020,16 years,16,12,4465940,Unreliable
,Non-Injury: Influenza & Pneumonia,GR113 077-078,15 years,15,12,4472392,Unreliable
,Fall,GRINJ-003,14 years,14,12,4308273,Unreliable
,Non-Injury: Diabetes mellitus,GR113-046,13 years,13,12,4219014,Unreliable
,Non-Injury: Chronic lower respiratory diseases,GR113 082,12 years,12,12,4134024,Unreliable
,Fire/Flame,GRINJ-004,11 years,11,12,4089809,Unreliable
,Non-Injury: Septicemia,GR113-010,11 years,11,12,4089809,Unreliable
,Non-Injury: Influenza & Pneumonia,GR113 077-078,11 years,11,12,4089809,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,10 years,10,12,4083444,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,4 years,4,12,3808594,Unreliable
,Non-Injury: Other diseases of respiratory system,GR113-089,4 years,4,12,3808594,Unreliable
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,2 years,2,12,3611883,Unreliable
,Non-Injury: Other disorders of circulatory system,GR113-075,< 1 year,0,12,3648654,Unreliable
,Non-Injury: Other diseases of respiratory system,GR113-089,19 years,19,11,4384615,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,17 years,17,11,4395048,Unreliable
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,15 years,15,11,4472392,Unreliable
