Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Intent, Age, Sex
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Injury Intent,Injury Intent Code,Single-Year Ages,Single-Year Ages Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,5 years,5,Female,F,34,1904677,1.8
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,17 years,17,Male,M,40,2248723,1.8
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,6 years,6,Male,M,36,2032840,1.8
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,9 years,9,Male,M,37,2098259,1.8
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,5 years,5,Male,M,35,1991400,1.8
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,2 years,2,Female,F,31,1764724,1.8
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,6 years,6,Female,F,34,1940157,1.8
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,9 years,9,Female,F,35,1999368,1.8
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,18 years,18,Male,M,39,2228634,1.7
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,3 years,3,Female,F,32,1832223,1.7
,Poisoning,GRINJ-015,Unintentional,1,15 years,15,Female,F,38,2181907,1.7
,Suffocation,GRINJ-017,Suicide,2,19 years,19,Female,F,37,2143573,1.7
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,3 years,3,Male,M,33,1915584,1.7
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,1 year,1,Female,F,31,1806761,1.7
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,9 years,9,Male,M,36,2098259,1.7
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,11 years,11,Female,F,34,1996442,1.7
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,13 years,13,Female,F,35,2057895,1.7
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,3 years,3,Female,F,31,1832223,1.7
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,7 years,7,Male,M,35,2082645,1.7
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,19 years,19,Female,F,36,2143573,1.7
,Non-Injury: Meningitis,GR113-050,"Non-Injury, no intent classified",9,< 1 year,0,Male,M,31,1864508,1.7
,Drowning,GRINJ-002,Unintentional,1,17 years,17,Male,M,37,2248723,1.6
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,11 years,11,Male,M,34,2093367,1.6
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,5 years,5,Male,M,32,1991400,1.6
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,9 years,9,Female,F,32,1999368,1.6
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,6 years,6,Female,F,31,1940157,1.6
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,18 years,18,Male,M,35,2228634,1.6
,Non-Injury: Meningitis,GR113-050,"Non-Injury, no intent classified",9,< 1 year,0,Female,F,28,1784146,1.6
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,7 years,7,Female,F,31,1992913,1.6
